asset_id,path,kind,source_url,creator_or_vendor,license,redistribution_status,sha256,theme,implementation_purpose,notes
parchmint-ui.penpot,parchmint-ui.penpot,penpot archive,,ParchMint design team (Penpot),internal project deliverable,included,0b2b3bc024e8a51b6658049d7d153c43b7b78158bcba6a3a51393f2ed679abdb,both,authoritative design surface; native export,byte-for-byte copy of source ParchMint.penpot
tokens-json,tokens/tokens.json,dtcg tokens,,ParchMint design team (Penpot),internal project deliverable,included,d0754fec54be1b9d4b10d85ce31c13ebee0466f9cf71035f6ab5376c5b92744e,both,design token source of truth for import pipeline,"Design Tokens / W3C DTCG structure; 6 sets, 3 themes"
ref-cards-dark,references/dark/cards-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,038956214767762bcb2e49110f36dc2dff4c246f64b87b68c3d08552ebf450ac,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-editor-dual-dark,references/dark/editor-dual-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,707ad29cd1dad78480bcc35e4eb5f78b47e0ddf1855a04f8cc9ec05b3feb2122,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-editor-single-dark,references/dark/editor-single-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,536135fe827c2057a644ef9940ab5f593e12c9e674f974b88b1b37de6447a812,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-error-recovery-dark,references/dark/error-recovery-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,7464e4db3c9d91d16827c7fd2ac35fc030657f1081cb67ce47d809d0a20b6fd7,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-export-dark,references/dark/export-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,c22a0262369c28d28fbd12b898d0144930ca936c44844211a1330ef77305e847,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-global-search-dark,references/dark/global-search-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,f38f6feadd24e890a6fe74e8b93ef31ba18e697948d0f2e617e124a85b2621d9,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-history-dark,references/dark/history-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,7b94ebd24c9ff26f99b7d55e85c99849438a8b70590a8499ee7198993bbde4b5,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-launcher-dark,references/dark/launcher-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,632700377c35f6eac715f5ac5a270038542c23f54b346d915c272b6de0fd36ae,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
ref-recently-deleted-dark,references/dark/recently-deleted-dark.png,reference image,,ParchMint design team (Penpot),internal project deliverable,included,853f7f15140c2ee4bbd33c3f36b15e2a8b43ecea3fea2ce1495df57315bfa6d9,dark,visual reference baseline for implementation,1440x900 PNG from locked theme-reference layer
