screen_id,penpot_page_id,penpot_board_id,name,reference_width,reference_height,scale,platform,theme,state,fixture_id,baseline_status,requirements,reference_image
cards-collapsed-groups-light,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f92923c1da,cards-collapsed-groups,1440,900,1,shared,light,groups collapsed,cards-collapsed-groups-default,design-only,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,
cards-deep-expanded-light,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f91ad51384,cards-deep-expanded,1440,900,1,shared,light,deep expanded hierarchy,cards-deep-expanded-default,design-only,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,
cards-density-compact-light,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f93f232290,cards-density-compact · Production,1440,900,1,shared,light,compact density,cards-density-compact-default,design-only,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,
cards-drag-multiselect-light,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f95dbbe446,cards-drag-multiselect,1440,900,1,shared,light,multi-selection drag reorder with insertion marker,cards-drag-multiselect-default,design-only,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,
cards-dark,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f906f35093,cards-manuscript-default,1440,900,1,shared,dark,Manuscript default; synopsis density,cards-default,baseline,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,references/dark/cards-dark.png
cards-light,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f906f35093,cards-manuscript-default,1440,900,1,shared,light,Manuscript default; synopsis density,cards-default,baseline,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,references/light/cards-light.png
cards-research-selected-light,e96ec683-a782-802c-8008-65f2d9112159,e96ec683-a782-802c-8008-65f9119c4804,cards-research-selected,1440,900,1,shared,light,Research selected,cards-research-selected-default,design-only,CARD-001–009|TREE-004–013|WS-001|WS-008|WS-015,
close-save-failure-light,e96ec683-a782-802c-8008-65f2d9186d87,e96ec683-a782-802c-8008-65fb28e7bd3d,close-save-failure,1440,900,1,shared,light,final save failed during close,close-save-failure-default,design-only,SAVE-004|SAVE-013|SAVE-014|A11Y-003|EXP-003,
comments-orphaned-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65fa19493512,comments-orphaned,1440,900,1,shared,light,orphaned comment,comments-orphaned-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|CMT-002|CMT-003|CMT-007|TOOL-005,
comments-replies-collapsed-light,e96ec683-a782-802c-8008-65f2d91405fb,e96ec683-a782-802c-8008-65f9fa8f73f4,comments-replies-collapsed,1440,900,1,shared,light,replies collapsed,comments-replies-collapsed-default,design-only,WS-004|WS-008|WS-009|META-001–009|CMT-001–012|WS-015|CMT-002|CMT-003|CMT-007|TOOL-005,
