requirement_id,requirement_summary,penpot_screen_ids,penpot_component_ids,implementation_modules,implementation_run_id,candidate_commit,developer_tests,independent_tests,test_charter_run_id,independent_test_run_id,test_charter_commit,independent_test_exemption,native_manual_tests,test_tier,status,current_notes
PLAT-001,First-class platforms,,,,,,,,,,,,,A,not_started,
PLAT-002,Native desktop application,,,,,,,,,,,,,A,not_started,
PLAT-003,One product model,,,,,,,,,,,,,A,not_started,
PLAT-004,Mobile and web,,,,,,,,,,,,,A,not_started,
PLAT-005,Supported versions,,,,,,,,,,,,,A,not_started,
PRJ-001,ParchMint must start at a launcher in v1 rather than automatically reopening previous projects.,e96ec683-a782-802c-8008-65f7642df84d|e96ec683-a782-802c-8008-65f767f20cfd,,,,,,,,,,,,A,not_started,
PRJ-002,The launcher must show recent projects and actions to create or open a project.,e96ec683-a782-802c-8008-65f7642df84d|e96ec683-a782-802c-8008-65f76cdbc050|e96ec683-a782-802c-8008-65f767f20cfd,e96ec683-a782-802c-8008-65f5a56d7081|e96ec683-a782-802c-8008-65f701e0505c,,,,,,,,,,,A,not_started,
PRJ-003,"New Project must collect project title, destination, optional author, and default language from the supported spellcheck-language list.",e96ec683-a782-802c-8008-65f78b1ad42a|e96ec683-a782-802c-8008-65faa931a6ee,e96ec683-a782-802c-8008-65f702f8240b|e96ec683-a782-802c-8008-65f59c69c917|e96ec683-a782-802c-8008-65f59a903029,,,,,,,,,,,A,not_started,
PRJ-004,"The suggested directory name may derive from the project title, but later title changes must not rename or move the directory.",e96ec683-a782-802c-8008-65f78b1ad42a|e96ec683-a782-802c-8008-65faa931a6ee,e96ec683-a782-802c-8008-65f702f8240b,,,,,,,,,,,A,not_started,
PRJ-005,"New projects must contain one Manuscript document named `Untitled Document`, open it immediately, and begin Research empty.",e96ec683-a782-802c-8008-65f78b1ad42a,e96ec683-a782-802c-8008-65f702f8240b,,,,,,,,,,,A,not_started,
PRJ-006,One project opens in one application window; multiple project windows may be open.,e96ec683-a782-802c-8008-65f770ca73a0,,,,,,,,,,,,A,not_started,
PRJ-007,A project may have only one writable ParchMint project session at a time. A second open attempt should focus the existing window when possible or show a safe locked-project message.,e96ec683-a782-802c-8008-65f770ca73a0,,,,,,,,,,,,A,not_started,
PRJ-008,ParchMint must refuse to create a project inside another Git working tree in v1.,e96ec683-a782-802c-8008-65f78b1ad42a,e96ec683-a782-802c-8008-65f702f8240b,,,,,,,,,,,A,not_started,
PRJ-009,"Project directory paths appear only in project-management contexts, not throughout the writing UI.",e96ec683-a782-802c-8008-65f76cdbc050|e96ec683-a782-802c-8008-65f767f20cfd,e96ec683-a782-802c-8008-65f701e0505c,,,,,,,,,,,A,not_started,
PRJ-010,"Each recent-project entry must present the project name, project directory path, and last-opened date and time. Activating the project name opens the project.",,,,,,,,,,,,,A,not_started,
WS-001,The top mode control must switch between `Editor` and `Cards` without changing underlying data.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804|e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-6607f362d598,,,,,,,,,,,A,not_started,
WS-002,"Editor mode must show a collapsible/resizable left sidebar, central editor area, and collapsible/resizable right Inspector.",e96ec683-a782-802c-8008-65f80715d743|c6b492ab-8095-8078-8008-6702042ef83c|e96ec683-a782-802c-8008-65f80de435f3|e96ec683-a782-802c-8008-65f815dec29f|e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-65f5e1526037|e96ec683-a782-802c-8008-65f5e0564ae5|e96ec683-a782-802c-8008-65f5e247224c,,,,,,,,,,,A,not_started,
WS-003,The left sidebar must provide Explorer and Global Search panels.,e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-65f5e0564ae5,,,,,,,,,,,A,not_started,
WS-004,"The Inspector must provide Synopsis, Metadata, and Comments sections as applicable.",e96ec683-a782-802c-8008-65fa19493512|e96ec683-a782-802c-8008-65f9fa8f73f4|e96ec683-a782-802c-8008-65fa002ff390|e96ec683-a782-802c-8008-65fa061c369c|e96ec683-a782-802c-8008-65f9f48c32a9|c6b492ab-8095-8078-8008-6702042ef83c|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-65fa1f2ce4b0|e96ec683-a782-802c-8008-65fa2a7463fd|e96ec683-a782-802c-8008-65fa24b8839c,e96ec683-a782-802c-8008-65f5e1526037|e96ec683-a782-802c-8008-65f68f2c7a00,,,,,,,,,,,A,not_started,
WS-005,The primary editor pane fills the central area when the companion is closed.,e96ec683-a782-802c-8008-65f80715d743|e96ec683-a782-802c-8008-65f80de435f3|e96ec683-a782-802c-8008-65f815dec29f|e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-65f64362a649,,,,,,,,,,,A,not_started,
WS-006,The optional companion pane opens on the right in v1.,e96ec683-a782-802c-8008-65f86db30e62|e96ec683-a782-802c-8008-65f879cd4b83|e96ec683-a782-802c-8008-65f7fdf858b9,e96ec683-a782-802c-8008-65f64362a649|e96ec683-a782-802c-8008-65f5e247224c,,,,,,,,,,,A,not_started,
WS-007,"Layout widths, split ratio, collapsed states, tabs, active view, scroll positions, and current mode must restore per project without entering authored history.",e96ec683-a782-802c-8008-65f7fdf858b9,,,,,,,,,,,,A,not_started,
WS-008,Clicking a tree node or Card sets the Inspector context to that node.,e96ec683-a782-802c-8008-65f92923c1da|e96ec683-a782-802c-8008-65f91ad51384|e96ec683-a782-802c-8008-65f93f232290|e96ec683-a782-802c-8008-65f95dbbe446|e96ec683-a782-802c-8008-65f906f35093|e96ec683-a782-802c-8008-65f9119c4804|e96ec683-a782-802c-8008-65fa19493512|e96ec683-a782-802c-8008-65f9fa8f73f4|e96ec683-a782-802c-8008-65fa002ff390|e96ec683-a782-802c-8008-65fa061c369c|e96ec683-a782-802c-8008-65f9f48c32a9|e96ec683-a782-802c-8008-65f7fdf858b9|e96ec683-a782-802c-8008-65fa1f2ce4b0|e96ec683-a782-802c-8008-65fa2a7463fd|e96ec683-a782-802c-8008-65fa24b8839c,,,,,,,,,,,,A,not_started,
