component_id,penpot_component_id,name,variants,states,themes,requirements,implementation_target,notes
PM/AppearanceChoice,469ffc7d-964a-806d-8008-6c9283050cac,AppearanceChoice,Selection,,light|dark,APPR-006,production,Same semantic choice structure in Light and Dark; token implementation contract is in appearance-matrix.md.
PM/Button,e96ec683-a782-802c-8008-65f522b059ea,Button,"Kind,State",,light|dark,,production,
PM/Checkbox,e96ec683-a782-802c-8008-65f59d52590f,Checkbox,,"unchecked,checked,mixed,focus-visible,disabled",light|dark,"EXP-003,A11Y-001",production,
PM/CommentAnchorState,e96ec683-a782-802c-8008-65f6958ed787,CommentAnchorState,State,"range,position,document-level,active",light|dark,"CMT-005,CMT-006,CMT-010,CMT-011",production,
PM/CommentMessage,e96ec683-a782-802c-8008-65f693791b92,CommentMessage,,"default,editing,deleted-confirmation",light|dark,CMT-002–004,production,
PM/CommentRepliesToggle,c5362ef2-ec03-8060-8008-69aa626ca753,CommentRepliesToggle,,,light|dark,,production,
PM/CommentReplyComposer,e96ec683-a782-802c-8008-65f694827b40,CommentReplyComposer,,"empty,composing,submitting,error",light|dark,"CMT-003,CMT-004",production,
PM/CommentThread,e96ec683-a782-802c-8008-65f6926d4e0f,CommentThread,,"unresolved,replies-collapsed,replies-expanded,resolved,orphaned",light|dark,"CMT-001,CMT-002,CMT-003,CMT-004,CMT-005,CMT-006,CMT-007,CMT-008",production,
PM/ContextMenu,e96ec683-a782-802c-8008-65f5f217ce21,ContextMenu,,"root,group,document,multiselection,destructiveitem",light|dark,"TREE-002,TREE-010,TREE-013,TREE-016,TREE-018,TREE-020",production,PM / ContextMenu
PM/ContextMenuDivider,c5362ef2-ec03-8060-8008-69aa6247d6ae,ContextMenuDivider,,,light|dark,,production,
PM/ContextMenuItem,c5362ef2-ec03-8060-8008-69aa620e9593,ContextMenuItem,,,light|dark,,production,
PM/ContextMenuSurface,c5362ef2-ec03-8060-8008-69aa61d813e3,ContextMenuSurface,,,light|dark,,production,
PM/Tree/CutState,e96ec683-a782-802c-8008-65f5ef230290,CutState,,"pending,cancelled",light|dark,TREE-013,production,
PM/DeletedItem,e96ec683-a782-802c-8008-65f700c45012,DeletedItem,,"document,group,restoring,fallback-location",light|dark,DEL-003–005,production,
PM/DeletedItemPreview,039701d9-7e2b-8031-8008-676c2bcc6956,DeletedItemPreview,,,light|dark,,production,
PM/DictionarySettings,e96ec683-a782-802c-8008-66077f2960a3,DictionarySettings,,"defaultlanguage,projectdictionary,globaldictionary,error",light|dark,SPELL-001–003,production,
PM/Disclosure,e96ec683-a782-802c-8008-65f5a00e8a95,Disclosure,,"expanded,collapsed,focus-visible",light|dark,"TREE-001,A11Y-003",production,
PM/Card/Document,e96ec683-a782-802c-8008-65f699c6475e,Document,,"compact,synopsis,detailed,editing",light|dark,"CARD-002,CARD-006",production,
PM/EditorCanvas,e96ec683-a782-802c-8008-65f641eca84d,EditorCanvas,,"default,focused,unfocused,selection,comment-highlight",light|dark,"FMT-001–018,TOOL-005",production,
PM/EditorContextMenu,e96ec683-a782-802c-8008-66077a35ef6c,EditorContextMenu,,"selection,cursor,disabledcommand,keyboardfocus",light|dark,"CMT-007,FMT-013,FMT-014",production,PM / ContextMenu
PM/EditorPane,e96ec683-a782-802c-8008-65f64362a649,EditorPane,,"primary,companion,focused,inactive,same-document-view",light|dark,"WS-005,WS-006,EDIT-001–012,FMT-001–018",production,
PM/EditorPaneHeader,e96ec683-a782-802c-8008-660773416c6c,EditorPaneHeader,,"multipletabs,activetab,dirtytab,focusedpane,documentHistoryaction",light|dark,"EDIT-001,EDIT-003,EDIT-005,EDIT-012,A11Y-003",production,
PM/EmptyState,e96ec683-a782-802c-8008-65f5a56d7081,EmptyState,,"first-launch,no-results,empty-root",light|dark,PRJ-002,production,
PM/ErrorBanner,e96ec683-a782-802c-8008-65f709a7779e,ErrorBanner,,"save,history,search,export,canonical-file",light|dark,"HIST-009,SAVE-013",production,
PM/ExportDialog,e96ec683-a782-802c-8008-65f7076a5ebf,ExportDialog,,"entire-manuscript,exporting,success,failure",light|dark,EXP-001–010,production,
PM/FocusVisible,e96ec683-a782-802c-8008-65f5a74ac4f2,FocusVisible,,focus-visible,light|dark,"A11Y-002,A11Y-009",production,Focus ring is measured against both token sets during later implementation/native validation.
PM/FormattingToolbar,e96ec683-a782-802c-8008-65f644651aae,FormattingToolbar,,"alwaysvisible,focused-viewtarget,mixedselection,disabledcommand",light|dark,"TOOL-001,TOOL-002,TOOL-003,TOOL-005",production,
PM/GlobalSearchPanel,e96ec683-a782-802c-8008-65f6f12da672,GlobalSearchPanel,,"query,streaming,noresults,indexrebuilding,casesensitive,wholeword",light|dark,"SEARCH-006,SEARCH-007,SEARCH-009,SEARCH-010",production,
PM/TreeRow/Group,e96ec683-a782-802c-8008-65f5ec3722d4,Group,,"default,selected,active-context,focused,expanded,collapsed,cut",light|dark,"TREE-002,TREE-003,TREE-016",production,
PM/HistoryCompare,e96ec683-a782-802c-8008-65f6fd4e533d,HistoryCompare,,"loading,ready,no-differences",light|dark,HIST-007,production,
PM/HistoryEntry,e96ec683-a782-802c-8008-65f6fa0243cf,HistoryEntry,,"autosave,explicit-save,structural,named,restoration",light|dark,"HIST-005,HIST-007",production,
PM/HistoryPreview,e96ec683-a782-802c-8008-65f6fc338bd1,HistoryPreview,,"loading,ready,missing-resource",light|dark,HIST-007,production,
PM/HistoryTimeline,e96ec683-a782-802c-8008-65f6f8ec20ee,HistoryTimeline,,"streaming,filtered-active-document,empty,unavailable",light|dark,HIST-005–007,production,
PM/InlineRename,e96ec683-a782-802c-8008-65f5f11a916f,InlineRename,,"editing,invalid,committed,cancelled",light|dark,TREE-002,production,
PM/Card/InsertionMarker,e96ec683-a782-802c-8008-65f6bfdd12c6,InsertionMarker,,"before,after,inside-group,invalid",light|dark,"CARD-003,CARD-004,CARD-009",production,
PM/Inspector,e96ec683-a782-802c-8008-65f5e1526037,Inspector,,"documenteditable,groupeditablewithoutComments,focus-within,validationerror",light|dark,"WS-002,WS-004,WS-014,META-001–009,CMT-005",production,
PM/InspectorSection,e96ec683-a782-802c-8008-65f68f2c7a00,InspectorSection,,"expanded,collapsed,focus-within",light|dark,"WS-004,META-001,META-002",production,
PM/LauncherProjectCard,e96ec683-a782-802c-8008-65f701e0505c,LauncherProjectCard,,"available,missing,locked,focused",light|dark,"PRJ-002,PRJ-009,PRJ-010",production,Recent entry presents name/path/last-opened and activates the project.
PM/LoadingState,e96ec683-a782-802c-8008-65f5a65dd2a8,LoadingState,,"indeterminate,determinate,reduced-motion",light|dark,"A11Y-003,A11Y-007",production,Reduced-motion state is tokenized; system-preference verification remains an implementation/native gate.
PM/LocalFindBar,e96ec683-a782-802c-8008-65f6476c9d47,LocalFindBar,,"hidden,find,replaceexpanded,casesensitive,wholeword,noresults,focusreturn",light|dark,"SEARCH-001,SEARCH-002,SEARCH-003,SEARCH-004",production,
PM/MetadataDefinitionEditor,e96ec683-a782-802c-8008-65f7064e136b,MetadataDefinitionEditor,,"new,existing,applicability-hidden-values,reordering,deleting",light|dark,"META-003–009,META-011",production,Direct reordering and per-field deletion are visible settings interactions.
PM/MetadataField,e96ec683-a782-802c-8008-65f69160b6a2,MetadataField,,"single-line,multiline,hidden-by-applicability,default-copied",light|dark,META-003–009,production,
PM/Card/MetadataValue,e96ec683-a782-802c-8008-65f6c1031f26,MetadataValue,,"read,editing,not-applicable",light|dark,"META-004,META-005,CARD-006,CARD-010",production,Status is shown only where the project-defined field is applicable; Cards remains read-only for metadata values.
PM/Tree/MultiSelection,e96ec683-a782-802c-8008-65f5f01ca60e,MultiSelection,,"default,hover,focus-visible,disabledwhereapplicable",light|dark,"TREE-007,TREE-008,TREE-009",production,
PM/MultilineField,e96ec683-a782-802c-8008-65f59b7d7f49,MultilineField,,"empty,populated,focus-visible,disabled,invalid",light|dark,META-001,production,
PM/NamedSnapshot,e96ec683-a782-802c-8008-65f6fb1b86ee,NamedSnapshot,,"default,selected",light|dark,HIST-006,production,
PM/NewProjectDialog,e96ec683-a782-802c-8008-65f702f8240b,NewProjectDialog,,"empty,valid,invalid-destination,creating,error",light|dark,"PRJ-003–005,PRJ-008",production,
PM/OrphanedComment,e96ec683-a782-802c-8008-65f69699fe2b,OrphanedComment,,"orphaned,reattaching",light|dark,"CMT-011,CMT-012",production,
PM/AtomicBreak/Page,e96ec683-a782-802c-8008-65f64a806611,Page,,"default,selected,focus-visible",light|dark,"FMT-010,FMT-012",production,
PM/ProgressState,e96ec683-a782-802c-8008-65f70887ed14,ProgressState,,"indeterminate,determinate,cancellable,paused,reduced-motion",light|dark,"PERF-012,A11Y-003,A11Y-007",production,Reduced-motion state is tokenized; system-preference verification remains an implementation/native gate.
PM/RecentlyDeletedList,e96ec683-a782-802c-8008-65f6ffa154ca,RecentlyDeletedList,,"populated,empty,restore-fallback-location",light|dark,DEL-003–005,production,
PM/RecoveryDialog,e96ec683-a782-802c-8008-65f70ac67a6f,RecoveryDialog,,"found,reviewing,restoring,discard-confirmation,error",light|dark,SAVE-011–014,production,
PM/ReplacePreview,e96ec683-a782-802c-8008-65f6f5a72f9f,ReplacePreview,,"reviewing,applying,complete,stale-result",light|dark,"SEARCH-006,SEARCH-011,SEARCH-012,SEARCH-013,SEARCH-014",production,
PM/ReplacePreviewRow,e96ec683-a782-802c-8008-65f6f6bd4043,ReplacePreviewRow,,"included,excluded,stale",light|dark,SEARCH-012,production,
